,idDem,cantMujeres,porcentajeMujeres
848,dem849,108155.0,51.32
849,dem850,2839.0,46.84
850,dem851,1088.0,48.75
851,dem852,2725.0,49.74
852,dem853,1000.0,49.38
853,dem854,6210.0,50.6
854,dem855,16731.0,48.63
855,dem856,1887.0,51.01
856,dem857,6660.0,50.14
857,dem858,10552.0,48.36
858,dem859,1681.0,48.8
859,dem860,1922.0,47.89
860,dem861,87614.0,50.97
861,dem862,3001.0,48.58
862,dem863,5143.0,48.57
863,dem864,2335.0,47.49
864,dem865,7133.0,48.24
865,dem866,11268.0,51.99
866,dem867,2389.0,47.45
867,dem868,5286.0,49.65
868,dem869,1936.0,47.15
869,dem870,5574.0,49.88
870,dem871,2333.0,47.92
871,dem872,94139.0,51.45
872,dem873,2618.0,48.62
873,dem874,12789.0,47.26
874,dem875,17041.0,49.31
875,dem876,31043.0,52.02
876,dem877,1151.0,46.45
877,dem878,17537.0,52.15
878,dem879,3437.0,48.66
879,dem880,1932.0,48.46
880,dem881,1068.0,49.26
881,dem882,4062.0,50.89
882,dem883,4910.0,51.33
883,dem884,151828.0,51.65
884,dem885,35980.0,50.78
885,dem886,10985.0,49.28
886,dem887,17348.0,50.85
887,dem888,282826.0,52.27
888,dem889,4268.0,48.97
889,dem890,3221.0,49.09
890,dem891,4769.0,47.66
891,dem892,5912.0,49.11
892,dem893,9097.0,47.59
893,dem894,5225.0,50.01
894,dem895,24852.0,48.98
895,dem896,4109.0,49.39
896,dem897,11018.0,48.99
897,dem898,14534.0,50.79
898,dem899,16537.0,50.46
899,dem900,12510.0,50.97
900,dem901,5713.0,48.04
901,dem902,18358.0,50.67
902,dem903,18640.0,49.47
903,dem904,1908.0,46.05
904,dem905,3221.0,47.64
905,dem906,10443.0,48.59
906,dem907,7363.0,50.87
907,dem908,6599.0,49.06
908,dem909,2663.0,46.94
909,dem910,1825.0,48.38
910,dem911,2629.0,49.05
911,dem912,2341.0,47.2
912,dem913,169102.0,51.96
913,dem914,18250.0,49.33
914,dem915,16105.0,50.25
915,dem916,15195.0,50.29
916,dem917,12665.0,49.78
917,dem918,26231.0,48.78
918,dem919,10718.0,53.54
919,dem920,13953.0,50.38
920,dem921,5214.0,48.93
921,dem922,16395.0,51.1
922,dem923,19838.0,49.49
923,dem924,19288.0,51.44
924,dem925,22414.0,53.63
925,dem926,57926.0,51.26
