,idEdu,coberturaNeta
951,edu952,0.0
952,edu953,0.0
953,edu954,0.0
954,edu955,0.0
955,edu956,0.0
956,edu957,0.0
957,edu958,0.0
958,edu959,0.0
959,edu960,0.0
960,edu961,0.0
961,edu962,0.0
962,edu963,0.0
963,edu964,0.0
964,edu965,0.0
965,edu966,0.0
966,edu967,0.0
967,edu968,0.0
968,edu969,0.0
969,edu970,0.0
970,edu971,0.0
971,edu972,0.0
972,edu973,0.0
973,edu974,0.0
974,edu975,0.0
975,edu976,0.0
976,edu977,0.0
977,edu978,0.0
978,edu979,0.0
979,edu980,0.0
980,edu981,0.0
981,edu982,0.0
982,edu983,0.0
983,edu984,0.0
984,edu985,0.0
985,edu986,0.0
986,edu987,0.0
987,edu988,0.0
988,edu989,0.0
989,edu990,0.0
990,edu991,0.0
991,edu992,0.0
992,edu993,0.0
993,edu994,0.0
994,edu995,0.0
995,edu996,0.0
996,edu997,0.0
997,edu998,0.0
998,edu999,0.0
999,edu1000,0.0
1000,edu1001,0.0
1001,edu1002,0.0
1002,edu1003,0.0
1003,edu1004,0.0
1004,edu1005,0.0
1005,edu1006,0.0
1006,edu1007,0.0
1007,edu1008,0.0
1008,edu1009,0.0
1009,edu1010,0.0
1010,edu1011,0.0
1011,edu1012,0.0
1012,edu1013,0.0
1013,edu1014,0.0
1014,edu1015,0.0
1015,edu1016,0.0
1016,edu1017,0.0
1017,edu1018,0.0
1018,edu1019,0.0
1019,edu1020,0.0
1020,edu1021,0.0
1021,edu1022,0.0
1022,edu1023,0.0
1023,edu1024,0.0
1024,edu1025,0.0
1025,edu1026,0.0
1026,edu1027,0.0
1027,edu1028,0.0
1028,edu1029,0.0
1029,edu1030,0.0
1030,edu1031,0.0
1031,edu1032,0.0
1032,edu1033,0.0
1033,edu1034,0.0
1034,edu1035,0.0
1035,edu1036,0.0
1036,edu1037,0.0
1037,edu1038,0.0
1038,edu1039,0.0
1039,edu1040,0.0
1040,edu1041,0.0
1041,edu1042,0.0
1042,edu1043,0.0
1043,edu1044,0.0
1044,edu1045,0.0
1045,edu1046,0.0
1046,edu1047,0.0
1047,edu1048,0.0
1048,edu1049,0.0
1049,edu1050,0.0
1050,edu1051,0.0
1051,edu1052,0.0
1052,edu1053,0.0
1053,edu1054,0.0
1054,edu1055,0.0
1055,edu1056,0.0
1056,edu1057,0.0
1057,edu1058,0.0
1058,edu1059,0.0
1059,edu1060,0.0
1060,edu1061,0.0
1061,edu1062,0.0
1062,edu1063,0.0
1063,edu1064,0.0
1064,edu1065,0.0
1065,edu1066,0.0
1066,edu1067,0.0
1067,edu1068,0.0
1068,edu1069,0.0
1069,edu1070,0.0
1070,edu1071,0.0
1071,edu1072,0.0
1072,edu1073,0.0
1073,edu1074,0.0
1074,edu1075,0.0
1075,edu1076,0.0
1076,edu1077,0.0
1077,edu1078,0.0
1078,edu1079,0.0
1079,edu1080,0.0
1080,edu1081,0.0
1081,edu1082,0.0
1082,edu1083,0.0
1083,edu1084,0.0
1084,edu1085,0.0
1085,edu1086,0.0
1086,edu1087,0.0
1087,edu1088,0.0
1088,edu1089,0.0
1089,edu1090,0.0
1090,edu1091,0.0
1091,edu1092,0.0
1092,edu1093,0.0
1093,edu1094,0.0
1094,edu1095,0.0
1095,edu1096,0.0
1096,edu1097,0.0
1097,edu1098,0.0
1098,edu1099,0.0
1099,edu1100,0.0
1100,edu1101,0.0
1101,edu1102,0.0
1102,edu1103,0.0
1103,edu1104,0.0
1104,edu1105,0.0
1105,edu1106,0.0
1106,edu1107,0.0
1107,edu1108,0.0
1108,edu1109,0.0
1109,edu1110,0.0
1110,edu1111,0.0
1111,edu1112,0.0
1112,edu1113,0.0
1113,edu1114,0.0
1114,edu1115,0.0
1115,edu1116,0.0
1116,edu1117,0.0
1117,edu1118,0.0
1118,edu1119,0.0
1119,edu1120,0.0
1120,edu1121,0.0
1121,edu1122,0.0
1122,edu1123,0.0
1123,edu1124,0.0
1124,edu1125,0.0
1125,edu1126,0.0
1126,edu1127,0.0
1127,edu1128,0.0
1128,edu1129,0.0
1129,edu1130,0.0
1130,edu1131,0.0
1131,edu1132,0.0
1132,edu1133,0.0
1133,edu1134,0.0
1134,edu1135,0.0
1135,edu1136,0.0
1136,edu1137,0.0
1137,edu1138,0.0
1138,edu1139,0.0
1139,edu1140,0.0
1140,edu1141,0.0
1141,edu1142,0.0
1142,edu1143,0.0
1143,edu1144,0.0
1144,edu1145,0.0
1145,edu1146,0.0
1146,edu1147,0.0
1147,edu1148,0.0
1148,edu1149,0.0
1149,edu1150,0.0
1150,edu1151,0.0
1151,edu1152,0.0
1152,edu1153,0.0
1153,edu1154,0.0
1154,edu1155,0.0
1155,edu1156,0.0
1156,edu1157,0.0
1157,edu1158,0.0
1158,edu1159,0.0
1159,edu1160,0.0
1160,edu1161,0.0
1161,edu1162,0.0
1162,edu1163,0.0
1163,edu1164,0.0
1164,edu1165,0.0
1165,edu1166,0.0
1166,edu1167,0.0
1167,edu1168,0.0
1168,edu1169,0.0
1169,edu1170,0.0
1170,edu1171,0.0
1171,edu1172,0.0
1172,edu1173,0.0
1173,edu1174,0.0
1174,edu1175,0.0
1175,edu1176,0.0
1176,edu1177,0.0
1177,edu1178,0.0
1178,edu1179,0.0
1179,edu1180,0.0
1180,edu1181,0.0
1181,edu1182,0.0
1182,edu1183,0.0
1183,edu1184,0.0
1184,edu1185,0.0
1185,edu1186,0.0
1186,edu1187,0.0
1187,edu1188,0.0
1188,edu1189,0.0
1189,edu1190,0.0
1190,edu1191,0.0
1191,edu1192,0.0
1192,edu1193,0.0
1193,edu1194,0.0
1194,edu1195,0.0
1195,edu1196,0.0
1196,edu1197,0.0
1197,edu1198,0.0
1198,edu1199,0.0
1199,edu1200,0.0
1200,edu1201,0.0
1201,edu1202,0.0
1202,edu1203,0.0
1203,edu1204,0.0
1204,edu1205,0.0
1205,edu1206,0.0
1206,edu1207,0.0
1207,edu1208,0.0
1208,edu1209,0.0
1209,edu1210,0.0
1210,edu1211,0.0
1211,edu1212,0.0
1212,edu1213,0.0
1213,edu1214,0.0
1214,edu1215,0.0
1215,edu1216,0.0
1216,edu1217,0.0
1217,edu1218,0.0
1218,edu1219,0.0
1219,edu1220,0.0
1220,edu1221,0.0
1221,edu1222,0.0
1222,edu1223,0.0
1223,edu1224,0.0
1224,edu1225,0.0
1225,edu1226,0.0
1226,edu1227,0.0
1227,edu1228,0.0
1228,edu1229,0.0
1229,edu1230,0.0
1230,edu1231,0.0
1231,edu1232,0.0
1232,edu1233,0.0
1233,edu1234,0.0
1234,edu1235,0.0
1235,edu1236,0.0
1236,edu1237,0.0
1237,edu1238,0.0
1238,edu1239,0.0
1239,edu1240,0.0
1240,edu1241,0.0
1241,edu1242,0.0
1242,edu1243,0.0
1243,edu1244,0.0
1244,edu1245,0.0
1245,edu1246,0.0
1246,edu1247,0.0
1247,edu1248,0.0
1248,edu1249,0.0
1249,edu1250,0.0
1250,edu1251,0.0
1251,edu1252,0.0
1252,edu1253,0.0
1253,edu1254,0.0
1254,edu1255,0.0
1255,edu1256,0.0
1256,edu1257,0.0
1257,edu1258,0.0
1258,edu1259,0.0
1259,edu1260,0.0
1260,edu1261,0.0
1261,edu1262,0.0
1262,edu1263,0.0
1263,edu1264,0.0
1264,edu1265,0.0
1265,edu1266,0.0
1266,edu1267,0.0
1267,edu1268,0.0
1268,edu1269,0.0
1269,edu1270,0.0
1270,edu1271,0.0
1271,edu1272,0.0
1272,edu1273,0.0
1273,edu1274,0.0
1274,edu1275,0.0
1275,edu1276,0.0
1276,edu1277,0.0
1277,edu1278,0.0
1278,edu1279,0.0
1279,edu1280,0.0
1280,edu1281,0.0
1281,edu1282,0.0
1282,edu1283,0.0
1283,edu1284,0.0
1284,edu1285,0.0
1285,edu1286,0.0
1286,edu1287,0.0
1287,edu1288,0.0
1288,edu1289,0.0
1289,edu1290,0.0
1290,edu1291,0.0
1291,edu1292,0.0
1292,edu1293,0.0
1293,edu1294,0.0
1294,edu1295,0.0
1295,edu1296,0.0
1296,edu1297,0.0
1297,edu1298,0.0
1298,edu1299,0.0
1299,edu1300,0.0
1300,edu1301,0.0
1301,edu1302,0.0
1302,edu1303,0.0
1303,edu1304,0.0
1304,edu1305,0.0
1305,edu1306,0.0
1306,edu1307,0.0
1307,edu1308,0.0
1308,edu1309,0.0
1309,edu1310,0.0
1310,edu1311,0.0
1311,edu1312,0.0
1312,edu1313,0.0
1313,edu1314,0.0
1314,edu1315,0.0
1315,edu1316,0.0
1316,edu1317,0.0
1317,edu1318,0.0
1318,edu1319,0.0
1319,edu1320,0.0
1320,edu1321,0.0
1321,edu1322,0.0
1322,edu1323,0.0
1323,edu1324,0.0
1324,edu1325,0.0
1325,edu1326,0.0
1326,edu1327,0.0
