,idVio,homiMuj,violenciaMuj,tasaVioMuj,cSecuestros,cDesplazadas,cDesplaExp,cHomicidios
431,vio432,0.0,2050.0,3453.0,0,0,0,286020.0
432,vio433,0.0,1960.0,4879.0,0,0,0,470480.0
433,vio434,0.0,320.0,2044.0,0,0,0,155500.0
434,vio435,0.0,850.0,9586.0,0,0,0,321460.0
435,vio436,0.0,0.0,0.0,0,0,0,12790.0
436,vio437,0.0,1010.0,2166.0,0,0,0,239910.0
437,vio438,0.0,1910.0,4335.0,0,0,0,465610.0
438,vio439,0.0,170.0,1192.0,0,0,0,11730.0
439,vio440,0.0,2410.0,240.0,0,0,0,475240.0
440,vio441,10.0,490.0,7385.0,0,0,0,26480.0
441,vio442,0.0,400.0,3725.0,0,0,0,0.0
442,vio443,0.0,170.0,15489.0,0,0,0,0.0
443,vio444,0.0,320.0,152.0,0,0,0,0.0
444,vio445,20.0,6200.0,7779.0,0,0,0,0.0
445,vio446,0.0,1000.0,1196.0,0,0,0,0.0
446,vio447,0.0,3350.0,2834.0,0,0,0,0.0
447,vio448,30.0,2610.0,8103.0,0,0,0,0.0
448,vio449,0.0,710.0,5524.0,0,0,0,0.0
449,vio450,0.0,410.0,5299.0,0,0,0,0.0
450,vio451,20.0,6400.0,48579.0,0,0,0,0.0
451,vio452,0.0,50.0,1621.0,0,0,0,0.0
452,vio453,0.0,1070.0,4375.0,0,0,0,0.0
453,vio454,0.0,1040.0,2442.0,0,0,0,0.0
454,vio455,10.0,640.0,626.0,0,0,0,0.0
455,vio456,10.0,470.0,2736.0,0,0,0,0.0
456,vio457,10.0,420.0,762.0,0,0,0,0.0
457,vio458,0.0,510.0,5228.0,0,0,0,0.0
458,vio459,0.0,230.0,133.0,0,0,0,0.0
459,vio460,0.0,2650.0,10789.0,0,0,0,0.0
460,vio461,0.0,470.0,93.0,0,0,0,0.0
